layer,title,link,parent,desc
1:0,fujian,http://fujian.cncn.com/jingdian/,-1,福建
1:1,taiwan,http://taiwan.cncn.com/jingdian/,-1,台湾
1:2,zhejiang,http://zhejiang.cncn.com/jingdian/,-1,浙江
1:3,shanghai,http://shanghai.cncn.com/jingdian/,-1,上海
1:4,shandong,http://shandong.cncn.com/jingdian/,-1,山东
1:5,jiangsu,http://jiangsu.cncn.com/jingdian/,-1,江苏
1:6,anhui,http://anhui.cncn.com/jingdian/,-1,安徽
1:7,jiangxi,http://jiangxi.cncn.com/jingdian/,-1,江西
1:8,heilongjiang,http://heilongjiang.cncn.com/jingdian/,-1,黑龙江
1:9,jilin,http://jilin.cncn.com/jingdian/,-1,吉林
1:10,liaoning,http://liaoning.cncn.com/jingdian/,-1,辽宁
1:11,beijing,http://beijing.cncn.com/jingdian/,-1,北京
1:12,tianjin,http://tianjin.cncn.com/jingdian/,-1,天津
1:13,hebei,http://hebei.cncn.com/jingdian/,-1,河北
1:14,henan,http://henan.cncn.com/jingdian/,-1,河南
1:15,shanxi,http://shanxi.cncn.com/jingdian/,-1,山西
1:16,neimenggu,http://neimenggu.cncn.com/jingdian/,-1,内蒙古
1:17,guangdong,http://guangdong.cncn.com/jingdian/,-1,广东
1:18,guangxi,http://guangxi.cncn.com/jingdian/,-1,广西
1:19,hainan,http://hainan.cncn.com/jingdian/,-1,海南
1:20,hubei,http://hubei.cncn.com/jingdian/,-1,湖北
1:21,hunan,http://hunan.cncn.com/jingdian/,-1,湖南
1:22,sichuan,http://sichuan.cncn.com/jingdian/,-1,四川
1:23,chongqing,http://chongqing.cncn.com/jingdian/,-1,重庆
1:24,guizhou,http://guizhou.cncn.com/jingdian/,-1,贵州
1:25,yunnan,http://yunnan.cncn.com/jingdian/,-1,云南
1:26,xizang,http://xizang.cncn.com/jingdian/,-1,西藏
1:27,shannxi,http://shannxi.cncn.com/jingdian/,-1,陕西
1:28,gansu,http://gansu.cncn.com/jingdian/,-1,甘肃
1:29,ningxia,http://ningxia.cncn.com/jingdian/,-1,宁夏
1:30,qinghai,http://qinghai.cncn.com/jingdian/,-1,青海
1:31,xinjiang,http://xinjiang.cncn.com/jingdian/,-1,新疆
1:32,hongkong,http://hongkong.cncn.com/jingdian/,-1,香港
1:33,macao,http://macao.cncn.com/jingdian/,-1,澳门
2:33-0,hongkong,http://hongkong.cncn.com/jingdian/,33,香港旅游景点
2:33-1,taiwan,http://taiwan.cncn.com/jingdian/,33,台湾旅游景点
2:33-2,macao,http://macao.cncn.com/jingdian/,33,澳门旅游景点
2:33-3,macao,http://macao.cncn.com/jingdian/dasanba/,33,大三巴牌坊
2:30-0,xining,http://xining.cncn.com/jingdian/,30,西宁
2:30-1,haidong,http://haidong.cncn.com/jingdian/,30,海东
2:30-2,haibei,http://haibei.cncn.com/jingdian/,30,海北
2:30-3,huangnan,http://huangnan.cncn.com/jingdian/,30,黄南
2:30-4,hainanzhou,http://hainanzhou.cncn.com/jingdian/,30,海南州
2:30-5,golog,http://golog.cncn.com/jingdian/,30,果洛
2:30-6,yushu,http://yushu.cncn.com/jingdian/,30,玉树
2:30-7,haixi,http://haixi.cncn.com/jingdian/,30,海西
2:30-8,xining,http://xining.cncn.com/jingdian/qinghaihu/,30,青海省青海湖景区
2:21-0,changsha,http://changsha.cncn.com/jingdian/,21,长沙
2:21-1,zhuzhou,http://zhuzhou.cncn.com/jingdian/,21,株洲
2:21-2,xiangtan,http://xiangtan.cncn.com/jingdian/,21,湘潭
2:21-3,hengyang,http://hengyang.cncn.com/jingdian/,21,衡阳
2:21-4,shaoyang,http://shaoyang.cncn.com/jingdian/,21,邵阳
2:21-5,yueyang,http://yueyang.cncn.com/jingdian/,21,岳阳
2:21-6,changde,http://changde.cncn.com/jingdian/,21,常德
2:21-7,zhangjiajie,http://zhangjiajie.cncn.com/jingdian/,21,张家界
2:21-8,yiyang,http://yiyang.cncn.com/jingdian/,21,益阳
2:21-9,chenzhou,http://chenzhou.cncn.com/jingdian/,21,郴州
2:21-10,yongzhou,http://yongzhou.cncn.com/jingdian/,21,永州
2:21-11,huaihua,http://huaihua.cncn.com/jingdian/,21,怀化
2:21-12,loudi,http://loudi.cncn.com/jingdian/,21,娄底
2:21-13,xiangxi,http://xiangxi.cncn.com/jingdian/,21,湘西
2:21-14,zhangjiajie,http://zhangjiajie.cncn.com/jingdian/zhangjiajie/,21,张家界国家森林公园
2:22-0,chengdu,http://chengdu.cncn.com/jingdian/,22,成都
2:22-1,zigong,http://zigong.cncn.com/jingdian/,22,自贡
2:22-2,panzhihua,http://panzhihua.cncn.com/jingdian/,22,攀枝花
2:22-3,luzhou,http://luzhou.cncn.com/jingdian/,22,泸州
2:22-4,deyang,http://deyang.cncn.com/jingdian/,22,德阳
2:22-5,mianyang,http://mianyang.cncn.com/jingdian/,22,绵阳
2:22-6,guangyuan,http://guangyuan.cncn.com/jingdian/,22,广元
